Season,LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,ClinchIndicator,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,LeagueRank,Record,HOME,ROAD
2000-01,00,22000,1610612755,Philadelphia,76ers,East,40-14,1,,Atlantic,18-6,1,56,26,0.683,None,56-26,29-12,27-14
2000-01,00,22000,1610612759,SanAntonio,Spurs,West,39-13,1,,Midwest,19-5,1,58,24,0.707,None,58-24,33-8,25-16
2000-01,00,22000,1610612747,LosAngeles,Lakers,West,34-18,2,,Pacific,14-10,1,56,26,0.683,None,56-26,31-10,25-16
2000-01,00,22000,1610612749,Milwaukee,Bucks,East,38-16,2,,Central,19-9,1,52,30,0.634,None,52-30,31-10,21-20
2000-01,00,22000,1610612758,Sacramento,Kings,West,35-17,3,,Pacific,16-8,2,55,27,0.671,None,55-27,33-8,22-19
2000-01,00,22000,1610612748,Miami,Heat,East,34-20,3,,Atlantic,15-10,2,50,32,0.61,None,50-32,29-12,21-20
2000-01,00,22000,1610612752,NewYork,Knicks,East,32-22,4,,Atlantic,16-9,3,48,34,0.585,None,48-34,30-11,18-23
2000-01,00,22000,1610612762,Utah,Jazz,West,31-21,4,,Midwest,14-10,2,53,29,0.646,None,53-29,28-13,25-16
2000-01,00,22000,1610612742,Dallas,Mavericks,West,30-22,4,,Midwest,14-10,2,53,29,0.646,None,53-29,28-13,25-16
2000-01,00,22000,1610612761,Toronto,Raptors,East,36-18,5,,Central,18-10,2,47,35,0.573,None,47-35,27-14,20-21
2000-01,00,22000,1610612756,Phoenix,Suns,West,30-22,6,,Pacific,12-12,3,51,31,0.622,None,51-31,31-10,20-21
2000-01,00,22000,1610612766,Charlotte,Hornets,East,37-17,6,,Central,20-8,3,46,36,0.561,None,46-36,28-13,18-23
2000-01,00,22000,1610612753,Orlando,Magic,East,30-24,7,,Atlantic,14-10,4,43,39,0.524,None,43-39,26-15,17-24
2000-01,00,22000,1610612757,Portland,TrailBlazers,West,26-26,7,,Pacific,12-12,4,50,32,0.61,None,50-32,28-13,22-19
2000-01,00,22000,1610612750,Minnesota,Timberwolves,West,27-25,8,,Midwest,11-13,4,47,35,0.573,None,47-35,30-11,17-24
2000-01,00,22000,1610612754,Indiana,Pacers,East,29-25,8,,Central,15-13,4,41,41,0.5,None,41-41,26-15,15-26
2000-01,00,22000,1610612745,Houston,Rockets,West,20-32,9,,Midwest,11-13,5,45,37,0.549,None,45-37,24-17,21-20
2000-01,00,22000,1610612738,Boston,Celtics,East,24-30,9,,Atlantic,11-13,5,36,46,0.439,None,36-46,20-21,16-25
2000-01,00,22000,1610612760,Seattle,SuperSonics,West,27-25,10,,Pacific,17-7,5,44,38,0.537,None,44-38,26-15,18-23
2000-01,00,22000,1610612765,Detroit,Pistons,East,25-29,10,,Central,16-12,5,32,50,0.39,None,32-50,18-23,14-27
2000-01,00,22000,1610612739,Cleveland,Cavaliers,East,22-32,11,,Central,11-17,6,30,52,0.366,None,30-52,20-21,10-31
2000-01,00,22000,1610612743,Denver,Nuggets,West,27-25,11,,Midwest,13-11,6,40,42,0.488,None,40-42,29-12,11-30
2000-01,00,22000,1610612746,LosAngeles,Clippers,West,18-34,12,,Pacific,9-15,6,31,51,0.378,None,31-51,22-19,9-32
2000-01,00,22000,1610612751,NewJersey,Nets,East,16-38,12,,Atlantic,8-16,6,26,56,0.317,None,26-56,18-23,8-33
2000-01,00,22000,1610612737,Atlanta,Hawks,East,16-38,13,,Central,9-19,7,25,57,0.305,None,25-57,18-23,7-34
2000-01,00,22000,1610612763,Vancouver,Grizzlies,West,11-41,13,,Midwest,2-22,7,23,59,0.28,None,23-59,15-26,8-33
2000-01,00,22000,1610612764,Washington,Wizards,East,13-41,14,,Atlantic,3-21,7,19,63,0.232,None,19-63,12-29,7-34
2000-01,00,22000,1610612744,GoldenState,Warriors,West,9-43,14,,Pacific,4-20,7,17,65,0.207,None,17-65,11-30,6-35
2000-01,00,22000,1610612741,Chicago,Bulls,East,13-41,15,,Central,4-24,8,15,67,0.183,None,15-67,10-31,5-36
2001-02,00,22001,1610612751,NewJersey,Nets,East,35-19,1,-e,Atlantic,16-8,1,52,30,0.634,None,52-30,33-8,19-22
2001-02,00,22001,1610612758,Sacramento,Kings,West,37-15,1,-w,Pacific,15-9,1,61,21,0.744,None,61-21,36-5,25-16
2001-02,00,22001,1610612765,Detroit,Pistons,East,38-16,2,-c,Central,20-8,1,50,32,0.61,None,50-32,26-15,24-17
2001-02,00,22001,1610612759,SanAntonio,Spurs,West,38-14,2,None,Midwest,21-3,1,58,24,0.707,None,58-24,32-9,26-15
2001-02,00,22001,1610612738,Boston,Celtics,East,35-19,3,-e,Atlantic,17-7,2,49,33,0.598,None,49-33,27-14,22-19
2001-02,00,22001,1610612747,LosAngeles,Lakers,West,37-15,3,-w,Pacific,16-8,2,58,24,0.707,None,58-24,34-7,24-17
2001-02,00,22001,1610612742,Dallas,Mavericks,West,34-18,4,-x,Midwest,16-8,2,57,25,0.695,None,57-25,30-11,27-14
2001-02,00,22001,1610612766,Charlotte,Hornets,East,31-23,4,,Central,17-11,2,44,38,0.537,0,44-38,21-20,23-18
2001-02,00,22001,1610612750,Minnesota,Timberwolves,West,29-23,5,-x,Midwest,15-9,3,50,32,0.61,None,50-32,29-12,21-20
2001-02,00,22001,1610612753,Orlando,Magic,East,29-25,5,-a,Atlantic,12-12,3,44,38,0.537,None,44-38,27-14,17-24
2001-02,00,22001,1610612755,Philadelphia,76ers,East,31-23,6,-x,Atlantic,14-11,4,43,39,0.524,None,43-39,22-19,21-20
2001-02,00,22001,1610612757,Portland,TrailBlazers,West,27-25,6,-x,Pacific,14-10,3,49,33,0.598,None,49-33,30-11,19-22
2001-02,00,22001,1610612761,Toronto,Raptors,East,29-25,7,-x,Central,17-11,3,42,40,0.512,None,42-40,24-17,18-23
2001-02,00,22001,1610612760,Seattle,SuperSonics,West,26-26,7,-x,Pacific,13-11,4,45,37,0.549,None,45-37,26-15,19-22
2001-02,00,22001,1610612754,Indiana,Pacers,East,27-27,8,-x,Central,13-15,4,42,40,0.512,None,42-40,25-16,17-24
2001-02,00,22001,1610612762,Utah,Jazz,West,25-27,8,None,Midwest,8-16,4,44,38,0.537,None,44-38,25-16,19-22
2001-02,00,22001,1610612746,LosAngeles,Clippers,West,23-29,9,-o,Pacific,9-15,5,39,43,0.476,None,39-43,25-16,14-27
2001-02,00,22001,1610612749,Milwaukee,Bucks,East,29-25,9,-o,Central,17-11,5,41,41,0.5,None,41-41,25-16,16-25
2001-02,00,22001,1610612764,Washington,Wizards,East,25-29,10,-x,Atlantic,12-13,5,37,45,0.451,None,37-45,22-19,15-26
2001-02,00,22001,1610612756,Phoenix,Suns,West,24-28,10,-x,Pacific,12-12,6,36,46,0.439,None,36-46,23-18,13-28
2001-02,00,22001,1610612745,Houston,Rockets,West,18-34,11,-x,Midwest,9-15,5,28,54,0.341,None,28-54,18-23,10-31
2001-02,00,22001,1610612748,Miami,Heat,East,22-32,11,-o,Atlantic,10-14,6,36,46,0.439,None,36-46,18-23,18-23
2001-02,00,22001,1610612743,Denver,Nuggets,West,19-33,12,-x,Midwest,8-16,6,27,55,0.329,None,27-55,20-21,7-34
2001-02,00,22001,1610612737,Atlanta,Hawks,East,21-33,12,-x,Central,11-17,6,33,49,0.402,None,33-49,23-18,10-31
2001-02,00,22001,1610612763,Memphis,Grizzlies,West,14-38,13,-o,Midwest,7-17,7,23,59,0.28,None,23-59,15-26,8-33
2001-02,00,22001,1610612752,NewYork,Knicks,East,20-34,13,-o,Atlantic,4-20,7,30,52,0.366,None,30-52,19-22,11-30
2001-02,00,22001,1610612739,Cleveland,Cavaliers,East,20-34,14,-x,Central,12-16,7,29,53,0.354,None,29-53,20-21,9-32
2001-02,00,22001,1610612744,GoldenState,Warriors,West,13-39,14,-o,Pacific,5-19,7,21,61,0.256,None,21-61,14-27,7-34
2001-02,00,22001,1610612741,Chicago,Bulls,East,13-41,15,-o,Central,5-23,8,21,61,0.256,None,21-61,14-27,7-34
2002-03,00,22002,1610612759,SanAntonio,Spurs,West,36-16,1,-w,Midwest,17-7,1,60,22,0.732,None,60-22,33-8,27-14
2002-03,00,22002,1610612765,Detroit,Pistons,East,35-19,1,-e,Central,19-9,1,50,32,0.61,None,50-32,30-11,20-21
2002-03,00,22002,1610612751,NewJersey,Nets,East,34-20,2,-a,Atlantic,16-8,1,49,33,0.598,None,49-33,33-8,16-25
